order_id,user_id,restaurant_id,order_date,total_amount
1,2508,450,18-02-2023,842.97
2,2693,309,18-01-2023,546.68
3,2084,107,15-07-2023,163.93
4,319,224,4/10/2023,1155.97
5,1064,293,25-12-2023,1321.91
6,2933,499,12/7/2023,1497.22
7,970,35,30-05-2023,129.21
8,891,57,7/11/2023,269.19
9,364,7,5/12/2023,953.3
10,2972,183,30-12-2023,351.41
11,924,235,10/12/2023,523.82
12,884,423,27-10-2023,1484.65
13,1958,244,11/8/2023,216.59
14,364,112,24-09-2023,898.24
15,1733,383,17-07-2023,1098.41
16,1321,149,17-07-2023,475.74
17,1896,421,9/4/2023,1002.51
18,1617,414,23-04-2023,736.89
19,330,73,27-12-2023,392.59
20,2567,52,3/2/2023,362.01
21,1610,186,13-08-2023,743.68
22,688,279,12/7/2023,507.82
23,2640,83,14-06-2023,1025.36
24,2403,434,22-01-2023,412.5
25,288,18,7/6/2023,147.9
26,2915,129,24-12-2023,933.31
27,1056,399,8/8/2023,678.38
28,2370,63,23-03-2023,900.74
29,2905,115,20-09-2023,903
30,2009,18,23-04-2023,996.26
31,1986,190,3/4/2023,199.16
32,1407,93,26-01-2023,741.1
33,1761,346,4/7/2023,957.07
34,844,350,15-06-2023,455.96
35,2858,291,15-05-2023,121.81
36,186,113,12/9/2023,140.83
37,952,34,1/2/2023,1198.64
38,2972,376,11/1/2023,751.82
39,118,170,23-02-2023,596.06
40,2773,63,25-07-2023,622.5
41,1071,145,9/1/2023,753.16
42,2274,121,21-01-2023,955.51
43,380,256,26-03-2023,850.52
44,633,161,4/12/2023,512.14
45,1146,426,13-09-2023,914.87
46,2294,72,25-12-2023,602.82
47,505,69,30-09-2023,929.24
48,372,397,30-11-2023,957.14
49,2911,234,10/2/2023,183.82
50,1673,118,26-09-2023,298.54
51,1853,381,10/5/2023,893.66
52,799,462,18-08-2023,1423.59
53,638,262,14-12-2023,261.16
54,1042,266,6/9/2023,334.11
55,2610,172,8/6/2023,838.38
56,2560,215,20-10-2023,1499.8
57,392,273,16-06-2023,852.11
58,606,361,22-02-2023,1281.55
59,1785,247,7/11/2023,169.22
60,1077,373,10/4/2023,544.55
61,1753,130,30-08-2023,1134.71
62,723,165,24-11-2023,722.78
63,205,339,27-07-2023,1107.3
64,1565,189,9/3/2023,625.41
65,2905,220,7/4/2023,881.86
66,340,70,12/8/2023,1356.31
67,2716,233,7/8/2023,781.02
68,850,292,19-04-2023,165.97
69,929,162,10/7/2023,1377.54
70,179,463,23-09-2023,890.18
71,773,256,18-05-2023,1401.97
72,204,413,28-11-2023,575.36
73,1725,80,19-04-2023,765.76
74,1284,229,1/12/2023,1223.01
75,849,444,22-08-2023,700.31
76,1565,233,28-08-2023,1117.61
77,1632,80,22-10-2023,851.28
78,2286,432,24-12-2023,271.81
79,1396,242,9/3/2023,1052.51
80,1965,291,23-02-2023,1323.7
81,2320,368,18-08-2023,537.78
82,38,257,11/1/2023,1326.03
83,1149,347,3/9/2023,961.02
84,2879,196,29-12-2023,488.53
85,2917,201,12/11/2023,1102.52
86,2563,423,28-10-2023,1018.04
87,1750,385,14-04-2023,1103.42
88,58,320,1/6/2023,196.11
89,1619,158,20-06-2023,619.05
90,2760,320,16-01-2023,264.05
91,2309,476,7/7/2023,391.36
92,81,200,7/1/2023,870.09
93,2874,1,22-01-2023,441.18
94,587,176,10/12/2023,285.28
95,570,280,20-02-2023,795.58
